accuracy,alpha,batch_neg,batch_pos,embed_dim,hidden_dim,learning_rate,train_size,trial
0.506,1e-05,949,955,2,2,0.001,1904,4
0.506,1e-05,1005,999,2,2,0.001,2004,4
0.454,1e-05,52,52,2,2,0.001,104,5
0.454,1e-05,95,109,2,2,0.001,204,5
0.454,1e-05,142,162,2,2,0.001,304,5
0.454,1e-05,200,204,2,2,0.001,404,5
0.454,1e-05,249,255,2,2,0.001,504,5
0.454,1e-05,301,303,2,2,0.001,604,5
0.454,1e-05,350,354,2,2,0.001,704,5
0.454,1e-05,402,402,2,2,0.001,804,5
0.454,1e-05,450,454,2,2,0.001,904,5
0.454,1e-05,509,495,2,2,0.001,1004,5
0.454,1e-05,561,543,2,2,0.001,1104,5
0.454,1e-05,613,591,2,2,0.001,1204,5
0.454,1e-05,672,632,2,2,0.001,1304,5
0.454,1e-05,713,691,2,2,0.001,1404,5
0.454,1e-05,760,744,2,2,0.001,1504,5
0.454,1e-05,813,791,2,2,0.001,1604,5
0.454,1e-05,872,832,2,2,0.001,1704,5
0.454,1e-05,924,880,2,2,0.001,1804,5
0.454,1e-05,975,929,2,2,0.001,1904,5
0.454,1e-05,1025,979,2,2,0.001,2004,5
0.504,1e-05,41,63,2,2,0.001,104,6
0.504,1e-05,92,112,2,2,0.001,204,6
0.504,1e-05,147,157,2,2,0.001,304,6
0.504,1e-05,191,213,2,2,0.001,404,6
0.504,1e-05,238,266,2,2,0.001,504,6
0.504,1e-05,295,309,2,2,0.001,604,6
0.504,1e-05,353,351,2,2,0.001,704,6
0.504,1e-05,402,402,2,2,0.001,804,6
0.504,1e-05,449,455,2,2,0.001,904,6
0.504,1e-05,510,494,2,2,0.001,1004,6
0.504,1e-05,554,550,2,2,0.001,1104,6
0.504,1e-05,600,604,2,2,0.001,1204,6
0.504,1e-05,644,660,2,2,0.001,1304,6
0.464,1e-05,694,710,2,2,0.001,1404,6
0.464,1e-05,737,767,2,2,0.001,1504,6
0.462,1e-05,797,807,2,2,0.001,1604,6
0.462,1e-05,844,860,2,2,0.001,1704,6
0.458,1e-05,903,901,2,2,0.001,1804,6
0.458,1e-05,952,952,2,2,0.001,1904,6
0.458,1e-05,1000,1004,2,2,0.001,2004,6
