accuracy,alpha,batch_neg,batch_pos,embed_dim,equality_pretrain_max_iter,equality_pretraining_accuracy,hidden_dim,learning_rate,max_equality_pretraining_trials,rep_pretrain_max_iter,rep_pretrain_tasks,train_size,trial
0.768,0.0001,357,347,25,10,0.999,50,0.01,1,10,10,704,17
0.82,0.0001,406,398,25,10,0.999,50,0.01,1,10,10,804,17
0.878,0.0001,456,448,25,10,0.999,50,0.01,1,10,10,904,17
0.894,0.0001,500,504,25,10,0.999,50,0.01,1,10,10,1004,17
0.938,0.0001,558,546,25,10,0.999,50,0.01,1,10,10,1104,17
0.958,0.0001,608,596,25,10,0.999,50,0.01,1,10,10,1204,17
0.958,0.0001,661,643,25,10,0.999,50,0.01,1,10,10,1304,17
0.966,0.0001,702,702,25,10,0.999,50,0.01,1,10,10,1404,17
0.972,0.0001,745,759,25,10,0.999,50,0.01,1,10,10,1504,17
0.972,0.0001,802,802,25,10,0.999,50,0.01,1,10,10,1604,17
0.976,0.0001,857,847,25,10,0.999,50,0.01,1,10,10,1704,17
0.974,0.0001,911,893,25,10,0.999,50,0.01,1,10,10,1804,17
0.972,0.0001,963,941,25,10,0.999,50,0.01,1,10,10,1904,17
0.474,0.0001,0,0,25,10,0.999,50,0.01,1,10,10,0,18
0.55,0.0001,54,50,25,10,0.999,50,0.01,1,10,10,104,18
0.57,0.0001,100,104,25,10,0.999,50,0.01,1,10,10,204,18
0.51,0.0001,154,150,25,10,0.999,50,0.01,1,10,10,304,18
0.644,0.0001,198,206,25,10,0.999,50,0.01,1,10,10,404,18
0.616,0.0001,255,249,25,10,0.999,50,0.01,1,10,10,504,18
0.604,0.0001,303,301,25,10,0.999,50,0.01,1,10,10,604,18
0.714,0.0001,359,345,25,10,0.999,50,0.01,1,10,10,704,18
0.73,0.0001,409,395,25,10,0.999,50,0.01,1,10,10,804,18
0.762,0.0001,467,437,25,10,0.999,50,0.01,1,10,10,904,18
0.818,0.0001,517,487,25,10,0.999,50,0.01,1,10,10,1004,18
0.862,0.0001,572,532,25,10,0.999,50,0.01,1,10,10,1104,18
0.906,0.0001,627,577,25,10,0.999,50,0.01,1,10,10,1204,18
0.92,0.0001,685,619,25,10,0.999,50,0.01,1,10,10,1304,18
0.952,0.0001,731,673,25,10,0.999,50,0.01,1,10,10,1404,18
